group,indicator,value,text
ADDIS ABABA,avg_total_consumption_per_adult_equiv,51507.36811932866,"In ADDIS ABABA, the average total annual consumption per adult equivalent was 51507 birr (ESPS-5, 2021/22)."
AFAR,avg_total_consumption_per_adult_equiv,44534.12179296875,"In AFAR, the average total annual consumption per adult equivalent was 44534 birr (ESPS-5, 2021/22)."
AMHARA,avg_total_consumption_per_adult_equiv,34015.1850645484,"In AMHARA, the average total annual consumption per adult equivalent was 34015 birr (ESPS-5, 2021/22)."
BENISHANGUL GUMUZ,avg_total_consumption_per_adult_equiv,46451.974784777005,"In BENISHANGUL GUMUZ, the average total annual consumption per adult equivalent was 46452 birr (ESPS-5, 2021/22)."
DIRE DAWA,avg_total_consumption_per_adult_equiv,49077.21619331814,"In DIRE DAWA, the average total annual consumption per adult equivalent was 49077 birr (ESPS-5, 2021/22)."
GAMBELA,avg_total_consumption_per_adult_equiv,48724.12204717121,"In GAMBELA, the average total annual consumption per adult equivalent was 48724 birr (ESPS-5, 2021/22)."
HARAR,avg_total_consumption_per_adult_equiv,66628.35416006827,"In HARAR, the average total annual consumption per adult equivalent was 66628 birr (ESPS-5, 2021/22)."
OROMIA,avg_total_consumption_per_adult_equiv,36394.75851809324,"In OROMIA, the average total annual consumption per adult equivalent was 36395 birr (ESPS-5, 2021/22)."
SNNP,avg_total_consumption_per_adult_equiv,33667.843829708014,"In SNNP, the average total annual consumption per adult equivalent was 33668 birr (ESPS-5, 2021/22)."
SOMALI,avg_total_consumption_per_adult_equiv,36589.152623903705,"In SOMALI, the average total annual consumption per adult equivalent was 36589 birr (ESPS-5, 2021/22)."
"ADDIS ABABA, URBAN",avg_total_consumption_per_adult_equiv_by_area,51507.36811932866,"In ADDIS ABABA, URBAN, the average total annual consumption per adult equivalent was 51507 birr (ESPS-5, 2021/22)."
"AFAR, RURAL",avg_total_consumption_per_adult_equiv_by_area,30990.611194577992,"In AFAR, RURAL, the average total annual consumption per adult equivalent was 30991 birr (ESPS-5, 2021/22)."
"AFAR, URBAN",avg_total_consumption_per_adult_equiv_by_area,56448.337883282424,"In AFAR, URBAN, the average total annual consumption per adult equivalent was 56448 birr (ESPS-5, 2021/22)."
"AMHARA, RURAL",avg_total_consumption_per_adult_equiv_by_area,24320.078814909826,"In AMHARA, RURAL, the average total annual consumption per adult equivalent was 24320 birr (ESPS-5, 2021/22)."
"AMHARA, URBAN",avg_total_consumption_per_adult_equiv_by_area,49359.40834153543,"In AMHARA, URBAN, the average total annual consumption per adult equivalent was 49359 birr (ESPS-5, 2021/22)."
"BENISHANGUL GUMUZ, RURAL",avg_total_consumption_per_adult_equiv_by_area,37489.10619656545,"In BENISHANGUL GUMUZ, RURAL, the average total annual consumption per adult equivalent was 37489 birr (ESPS-5, 2021/22)."
"BENISHANGUL GUMUZ, URBAN",avg_total_consumption_per_adult_equiv_by_area,55952.61548828125,"In BENISHANGUL GUMUZ, URBAN, the average total annual consumption per adult equivalent was 55953 birr (ESPS-5, 2021/22)."
"DIRE DAWA, RURAL",avg_total_consumption_per_adult_equiv_by_area,27164.899026692707,"In DIRE DAWA, RURAL, the average total annual consumption per adult equivalent was 27165 birr (ESPS-5, 2021/22)."
"DIRE DAWA, URBAN",avg_total_consumption_per_adult_equiv_by_area,57936.64361917748,"In DIRE DAWA, URBAN, the average total annual consumption per adult equivalent was 57937 birr (ESPS-5, 2021/22)."
"GAMBELA, RURAL",avg_total_consumption_per_adult_equiv_by_area,39486.665506454716,"In GAMBELA, RURAL, the average total annual consumption per adult equivalent was 39487 birr (ESPS-5, 2021/22)."
"GAMBELA, URBAN",avg_total_consumption_per_adult_equiv_by_area,56074.778954039226,"In GAMBELA, URBAN, the average total annual consumption per adult equivalent was 56075 birr (ESPS-5, 2021/22)."
"HARAR, RURAL",avg_total_consumption_per_adult_equiv_by_area,46011.1268700133,"In HARAR, RURAL, the average total annual consumption per adult equivalent was 46011 birr (ESPS-5, 2021/22)."
"HARAR, URBAN",avg_total_consumption_per_adult_equiv_by_area,81769.13045120239,"In HARAR, URBAN, the average total annual consumption per adult equivalent was 81769 birr (ESPS-5, 2021/22)."
"OROMIA, RURAL",avg_total_consumption_per_adult_equiv_by_area,27520.4931552533,"In OROMIA, RURAL, the average total annual consumption per adult equivalent was 27520 birr (ESPS-5, 2021/22)."
"OROMIA, URBAN",avg_total_consumption_per_adult_equiv_by_area,50222.93105135385,"In OROMIA, URBAN, the average total annual consumption per adult equivalent was 50223 birr (ESPS-5, 2021/22)."
"SNNP, RURAL",avg_total_consumption_per_adult_equiv_by_area,24460.906027003195,"In SNNP, RURAL, the average total annual consumption per adult equivalent was 24461 birr (ESPS-5, 2021/22)."
"SNNP, URBAN",avg_total_consumption_per_adult_equiv_by_area,51465.18342154367,"In SNNP, URBAN, the average total annual consumption per adult equivalent was 51465 birr (ESPS-5, 2021/22)."
"SOMALI, RURAL",avg_total_consumption_per_adult_equiv_by_area,30833.742387322105,"In SOMALI, RURAL, the average total annual consumption per adult equivalent was 30834 birr (ESPS-5, 2021/22)."
"SOMALI, URBAN",avg_total_consumption_per_adult_equiv_by_area,45277.608461820164,"In SOMALI, URBAN, the average total annual consumption per adult equivalent was 45278 birr (ESPS-5, 2021/22)."
ADDIS ABABA,avg_household_size,3.987577639751553,"In ADDIS ABABA, the average household size was 4.0 people (ESPS-5, 2021/22)."
AFAR,avg_household_size,4.384,"In AFAR, the average household size was 4.4 people (ESPS-5, 2021/22)."
AMHARA,avg_household_size,3.995426829268293,"In AMHARA, the average household size was 4.0 people (ESPS-5, 2021/22)."
BENISHANGUL GUMUZ,avg_household_size,3.966019417475728,"In BENISHANGUL GUMUZ, the average household size was 4.0 people (ESPS-5, 2021/22)."
DIRE DAWA,avg_household_size,4.251439539347409,"In DIRE DAWA, the average household size was 4.3 people (ESPS-5, 2021/22)."
GAMBELA,avg_household_size,4.7843601895734595,"In GAMBELA, the average household size was 4.8 people (ESPS-5, 2021/22)."
HARAR,avg_household_size,4.301801801801802,"In HARAR, the average household size was 4.3 people (ESPS-5, 2021/22)."
OROMIA,avg_household_size,4.675039246467818,"In OROMIA, the average household size was 4.7 people (ESPS-5, 2021/22)."
SNNP,avg_household_size,4.904109589041096,"In SNNP, the average household size was 4.9 people (ESPS-5, 2021/22)."
